Fahrenheit  Celsius     
-10.00      -23.33      
-9.00       -22.78      
-8.00       -22.22      
-7.00       -21.67      
-6.00       -21.11      
-5.00       -20.56      
-4.00       -20.00      
-3.00       -19.44      
-2.00       -18.89      
-1.00       -18.33      
0.00        -17.78      
1.00        -17.22      
2.00        -16.67      
3.00        -16.11      
4.00        -15.56      
5.00        -15.00      
6.00        -14.44      
7.00        -13.89      
8.00        -13.33      
9.00        -12.78      
10.00       -12.22      
